,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,84.58%,43.75%,45.45%,42.18%,56.62%,43.52%,53.20%,56.97%,42.54%,55.06%,50.00%,39.28%,57.41%,45.38%,46.54%,48.11%
1,57.50%,100.00%,60.61%,49.57%,52.32%,50.93%,52.00%,54.26%,64.92%,41.14%,49.04%,48.22%,57.41%,52.10%,55.94%,51.26%
2,48.75%,56.25%,100.00%,52.61%,59.28%,42.90%,54.00%,52.33%,44.74%,55.70%,49.04%,50.00%,51.85%,45.38%,43.56%,50.00%
3,55.83%,54.17%,48.48%,87.83%,45.36%,60.18%,55.20%,51.55%,64.48%,43.67%,58.65%,69.64%,55.56%,55.04%,64.36%,55.66%
4,60.42%,50.00%,72.73%,50.87%,79.14%,50.92%,51.60%,49.61%,50.88%,49.37%,51.44%,57.14%,61.11%,49.16%,50.99%,54.40%
5,57.92%,54.16%,53.03%,48.26%,54.31%,84.56%,56.00%,56.97%,45.18%,52.53%,53.85%,62.50%,44.44%,55.88%,47.02%,52.52%
6,52.50%,56.25%,71.22%,50.87%,44.04%,51.85%,90.40%,44.19%,60.96%,58.86%,57.69%,78.57%,50.00%,63.87%,60.90%,55.34%
7,49.58%,47.92%,48.48%,50.00%,51.99%,48.14%,46.00%,86.04%,42.54%,56.33%,46.64%,57.14%,50.00%,47.48%,39.60%,54.72%
8,57.50%,56.25%,51.52%,50.00%,46.36%,50.62%,60.00%,53.10%,85.52%,46.20%,57.21%,48.22%,46.30%,57.56%,46.04%,49.37%
9,58.75%,50.00%,50.00%,49.57%,52.65%,51.54%,51.20%,60.46%,45.61%,87.98%,56.25%,53.57%,44.44%,54.20%,58.92%,51.26%
10,52.50%,58.34%,66.67%,56.96%,50.33%,59.26%,50.40%,56.97%,55.27%,55.06%,86.54%,44.64%,55.56%,55.88%,64.36%,53.46%
11,53.75%,41.66%,59.70%,53.28%,49.34%,48.15%,50.80%,44.18%,44.74%,53.16%,48.08%,100.00%,59.26%,57.14%,50.99%,49.06%
12,51.25%,66.67%,57.58%,57.82%,56.29%,56.17%,44.80%,54.66%,60.53%,55.70%,57.69%,57.14%,100.00%,56.72%,58.92%,46.86%
13,55.00%,41.66%,54.55%,50.86%,59.60%,55.86%,54.80%,49.22%,47.81%,49.37%,44.71%,78.57%,51.85%,84.03%,59.41%,48.11%
14,51.25%,35.42%,48.48%,50.87%,50.99%,53.40%,58.00%,53.88%,53.94%,56.96%,50.96%,48.22%,44.44%,56.30%,92.08%,48.74%
15,41.25%,52.08%,66.67%,50.87%,60.93%,56.17%,61.20%,54.65%,51.32%,56.96%,50.48%,60.72%,50.00%,53.36%,47.03%,78.62%
means,55.52%,54.04%,59.70%,53.28%,54.35%,54.01%,55.60%,54.94%,53.81%,54.63%,54.27%,59.60%,54.98%,55.59%,55.42%,52.97%
