,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,53.24%,59.12%,60.29%,50.59%,56.47%,64.71%,51.47%,65.88%,46.47%,47.35%,71.18%,43.24%,59.41%,57.35%,48.82%
1,65.00%,,88.82%,66.18%,52.94%,52.94%,63.24%,62.35%,64.71%,74.41%,69.12%,88.53%,90.29%,63.82%,68.82%,52.65%
2,63.24%,73.53%,,62.94%,56.18%,53.82%,61.76%,59.12%,63.82%,71.18%,60.59%,76.18%,67.65%,62.06%,69.12%,52.06%
3,45.00%,57.06%,64.71%,,54.12%,55.00%,55.59%,58.53%,63.53%,50.88%,52.06%,40.59%,41.76%,50.29%,58.24%,54.12%
4,47.35%,44.12%,54.71%,46.47%,,57.06%,48.82%,46.47%,42.35%,50.88%,50.59%,46.76%,55.29%,47.06%,45.29%,45.29%
5,53.24%,56.18%,67.65%,60.00%,56.47%,,61.18%,58.24%,64.41%,59.41%,54.41%,46.18%,52.65%,52.65%,60.29%,51.76%
6,44.41%,67.35%,54.41%,59.12%,47.06%,56.18%,,57.35%,53.53%,58.53%,44.12%,22.35%,45.29%,57.06%,57.35%,49.41%
7,52.35%,66.47%,57.06%,53.24%,57.94%,52.65%,50.59%,,51.18%,62.65%,56.76%,65.59%,76.18%,52.65%,59.71%,54.12%
8,62.35%,35.88%,53.82%,53.53%,52.06%,58.53%,61.18%,47.35%,,39.41%,50.59%,52.65%,40.59%,51.47%,58.24%,50.88%
9,58.53%,72.94%,70.00%,48.82%,52.35%,57.65%,57.35%,51.18%,60.88%,,60.59%,62.65%,74.41%,57.94%,52.65%,48.24%
10,63.24%,77.65%,77.06%,64.12%,57.35%,57.35%,60.00%,59.12%,68.53%,62.94%,,70.00%,81.18%,61.47%,67.06%,51.18%
11,65.00%,76.76%,82.65%,66.47%,54.71%,54.12%,63.82%,57.35%,66.76%,56.47%,61.18%,,75.00%,63.82%,67.06%,52.94%
12,62.35%,82.35%,85.88%,64.12%,56.18%,51.76%,64.41%,60.00%,67.06%,71.18%,67.94%,87.65%,,64.12%,68.53%,50.59%
13,47.06%,68.82%,65.59%,52.35%,53.24%,51.47%,58.53%,55.59%,49.41%,59.12%,56.47%,77.35%,51.76%,,63.53%,57.65%
14,52.35%,57.35%,59.41%,61.18%,54.41%,57.65%,55.29%,55.29%,64.12%,39.41%,47.94%,62.94%,50.00%,57.06%,,55.00%
15,52.65%,55.29%,52.35%,53.82%,57.35%,51.76%,48.53%,55.88%,60.59%,42.06%,49.12%,75.88%,44.41%,52.06%,59.12%,
means,55.61%,63.00%,66.22%,58.18%,54.20%,54.96%,58.33%,55.69%,60.45%,56.33%,55.26%,63.10%,59.31%,56.86%,60.82%,51.65%
