,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,87.08%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
1,57.09%,100.00%,53.03%,48.70%,54.64%,48.76%,52.40%,50.78%,59.65%,42.40%,48.08%,55.36%,55.56%,50.42%,51.48%,50.94%
2,50.00%,50.00%,100.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
3,55.00%,50.00%,50.00%,86.96%,46.36%,51.24%,50.40%,50.77%,60.53%,50.00%,55.77%,66.07%,70.37%,54.62%,63.36%,56.29%
4,51.25%,43.75%,68.18%,50.87%,80.46%,51.54%,54.00%,50.00%,49.56%,45.57%,48.56%,51.78%,55.56%,46.22%,50.50%,54.09%
5,50.00%,50.00%,50.00%,50.00%,50.00%,85.18%,50.00%,50.00%,49.56%,49.36%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
6,50.42%,50.00%,68.18%,49.13%,49.67%,52.16%,91.60%,50.00%,61.40%,51.26%,53.36%,75.00%,53.71%,56.31%,57.42%,50.00%
7,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,84.88%,39.03%,50.63%,50.00%,50.00%,50.00%,49.16%,50.00%,50.00%
8,54.16%,45.84%,53.03%,46.09%,51.99%,49.38%,55.60%,49.61%,84.65%,48.10%,50.48%,42.86%,48.15%,56.72%,38.62%,52.20%
9,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,44.29%,89.88%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
10,50.00%,50.00%,60.60%,49.56%,52.65%,51.54%,55.60%,49.61%,50.00%,48.74%,83.65%,50.00%,53.71%,50.00%,49.50%,52.20%
11,50.00%,50.00%,57.98%,52.46%,50.00%,50.00%,50.40%,50.00%,47.81%,50.00%,50.00%,100.00%,50.00%,50.42%,50.00%,50.00%
12,52.50%,56.25%,51.52%,53.92%,51.65%,50.30%,46.40%,55.42%,51.32%,52.53%,51.44%,44.64%,100.00%,54.20%,56.44%,52.83%
13,50.00%,50.00%,50.00%,50.00%,49.67%,50.00%,51.60%,50.00%,46.49%,50.00%,50.00%,50.00%,50.00%,85.30%,51.48%,50.00%
14,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,49.60%,50.00%,40.35%,50.00%,50.00%,50.00%,50.00%,51.68%,91.58%,50.00%
15,50.00%,56.25%,65.16%,51.74%,60.60%,53.71%,58.00%,50.00%,52.63%,56.33%,51.92%,64.28%,48.15%,50.85%,50.00%,80.18%
means,53.59%,53.26%,57.98%,52.46%,52.98%,52.74%,54.10%,52.57%,52.33%,52.18%,52.70%,56.25%,55.33%,53.49%,53.77%,53.05%
