,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,60.91%,71.21%,55.76%,48.48%,58.79%,63.64%,54.55%,62.73%,48.18%,52.42%,69.70%,66.97%,55.76%,61.82%,50.61%
1,64.24%,,86.36%,64.85%,53.94%,53.64%,61.21%,60.30%,65.76%,74.55%,68.18%,84.24%,90.30%,61.52%,69.09%,53.33%
2,60.00%,75.15%,,56.97%,48.79%,57.88%,59.70%,56.36%,66.06%,70.00%,59.39%,73.33%,75.45%,60.30%,60.91%,49.39%
3,44.55%,56.97%,62.73%,,54.24%,55.45%,53.33%,53.33%,61.82%,46.97%,52.42%,45.15%,60.91%,55.76%,58.79%,49.09%
4,53.03%,49.70%,46.97%,51.21%,,55.45%,45.45%,49.09%,46.36%,53.94%,47.58%,57.58%,64.24%,45.76%,48.79%,47.58%
5,56.06%,63.64%,63.64%,60.00%,56.06%,,60.91%,59.09%,58.48%,58.79%,55.76%,45.15%,69.70%,57.88%,60.30%,52.42%
6,54.55%,66.36%,66.36%,56.67%,50.61%,57.58%,,56.36%,53.64%,59.09%,57.27%,47.88%,66.97%,54.24%,45.76%,51.21%
7,50.00%,69.39%,64.85%,52.12%,56.97%,55.45%,57.88%,,44.55%,57.27%,49.39%,74.24%,67.88%,55.15%,64.24%,52.12%
8,58.18%,43.94%,57.27%,54.85%,48.18%,56.36%,58.79%,51.82%,,45.76%,44.24%,63.03%,51.52%,54.55%,63.33%,53.64%
9,56.67%,66.67%,76.97%,51.82%,56.67%,51.82%,53.64%,53.33%,59.70%,,63.94%,74.24%,72.12%,56.67%,55.76%,51.21%
10,64.55%,77.27%,77.88%,63.64%,53.03%,55.45%,64.85%,58.79%,68.48%,66.36%,,83.64%,79.70%,61.21%,63.64%,53.33%
11,67.27%,73.64%,85.15%,65.45%,57.58%,56.97%,62.73%,53.64%,68.48%,57.88%,60.91%,,76.67%,59.39%,63.33%,53.94%
12,64.24%,78.79%,83.64%,52.73%,54.24%,55.15%,61.82%,62.12%,69.09%,67.88%,63.33%,87.27%,,63.33%,65.15%,53.03%
13,59.70%,57.27%,79.39%,53.64%,54.55%,55.15%,53.03%,51.21%,62.42%,58.18%,51.82%,83.94%,70.91%,,64.85%,52.73%
14,55.76%,59.39%,59.09%,59.39%,54.85%,52.42%,54.55%,53.64%,58.18%,43.94%,51.82%,68.18%,55.76%,58.18%,,56.36%
15,46.67%,54.24%,50.61%,50.91%,43.94%,51.21%,53.03%,58.79%,50.61%,50.30%,45.76%,67.58%,56.97%,52.12%,52.73%,
means,57.03%,63.56%,68.81%,56.67%,52.81%,55.25%,57.64%,55.49%,59.76%,57.27%,54.95%,68.34%,68.40%,56.79%,59.90%,52.00%
